state_fips,county_fips,fips,county_name,alt_spelling
27,067,27067,Kandiyohi,Kandiyohi
27,067,27067,Kandiyohi,kandiyohi
27,069,27069,Kittson,KITTSON
27,069,27069,Kittson,Kittson
27,069,27069,Kittson,kittson
27,071,27071,Koochiching,KOOCHICHING
27,071,27071,Koochiching,Koochiching
27,071,27071,Koochiching,koochiching
27,073,27073,Lac qui Parle,LAC QUI PARLE
27,073,27073,Lac qui Parle,LACQUIPARLE
27,073,27073,Lac qui Parle,Lac Qui Parle
27,073,27073,Lac qui Parle,Lac qui Parle
27,073,27073,Lac qui Parle,LacQuiParle
27,073,27073,Lac qui Parle,LacquiParle
27,073,27073,Lac qui Parle,lac qui parle
27,073,27073,Lac qui Parle,lacquiparle
27,075,27075,Lake,LAKE
27,075,27075,Lake,Lake
27,075,27075,Lake,lake
27,077,27077,Lake of the Woods,LAKE OF THE WOODS
27,077,27077,Lake of the Woods,LAKEOFTHEWOODS
27,077,27077,Lake of the Woods,Lake Of The Woods
27,077,27077,Lake of the Woods,Lake of the Woods
27,077,27077,Lake of the Woods,LakeOfTheWoods
27,077,27077,Lake of the Woods,LakeoftheWoods
27,077,27077,Lake of the Woods,lake of the woods
27,077,27077,Lake of the Woods,lakeofthewoods
27,079,27079,Le Sueur,LE SUEUR
27,079,27079,Le Sueur,LESUEUR
27,079,27079,Le Sueur,Le Sueur
27,079,27079,Le Sueur,LeSueur
27,079,27079,Le Sueur,le sueur
27,079,27079,Le Sueur,lesueur
27,081,27081,Lincoln,LINCOLN
27,081,27081,Lincoln,Lincoln
27,081,27081,Lincoln,lincoln
27,083,27083,Lyon,LYON
27,083,27083,Lyon,Lyon
27,083,27083,Lyon,lyon
27,085,27085,McLeod,MCLEOD
27,085,27085,McLeod,McLeod
27,085,27085,McLeod,Mcleod
27,085,27085,McLeod,mcleod
27,087,27087,Mahnomen,MAHNOMEN
27,087,27087,Mahnomen,Mahnomen
27,087,27087,Mahnomen,mahnomen
27,089,27089,Marshall,MARSHALL
27,089,27089,Marshall,Marshall
27,089,27089,Marshall,marshall
27,091,27091,Martin,MARTIN
27,091,27091,Martin,Martin
27,091,27091,Martin,martin
27,093,27093,Meeker,MEEKER
27,093,27093,Meeker,Meeker
27,093,27093,Meeker,meeker
27,095,27095,Mille Lacs,MILLE LACS
27,095,27095,Mille Lacs,MILLELACS
27,095,27095,Mille Lacs,Mille Lacs
27,095,27095,Mille Lacs,MilleLacs
27,095,27095,Mille Lacs,mille lacs
27,095,27095,Mille Lacs,millelacs
27,097,27097,Morrison,MORRISON
27,097,27097,Morrison,Morrison
27,097,27097,Morrison,morrison
27,099,27099,Mower,MOWER
27,099,27099,Mower,Mower
27,099,27099,Mower,mower
27,101,27101,Murray,MURRAY
27,101,27101,Murray,Murray
27,101,27101,Murray,murray
27,103,27103,Nicollet,NICOLLET
27,103,27103,Nicollet,Nicollet
27,103,27103,Nicollet,nicollet
27,105,27105,Nobles,NOBLES
27,105,27105,Nobles,Nobles
27,105,27105,Nobles,nobles
27,107,27107,Norman,NORMAN
27,107,27107,Norman,Norman
27,107,27107,Norman,norman
27,109,27109,Olmsted,OLMSTED
27,109,27109,Olmsted,Olmsted
27,109,27109,Olmsted,olmsted
27,111,27111,Otter Tail,OTTER TAIL
27,111,27111,Otter Tail,OTTERTAIL
27,111,27111,Otter Tail,Otter Tail
27,111,27111,Otter Tail,OtterTail
27,111,27111,Otter Tail,otter tail
27,111,27111,Otter Tail,ottertail
27,113,27113,Pennington,PENNINGTON
27,113,27113,Pennington,Pennington
27,113,27113,Pennington,pennington
27,115,27115,Pine,PINE
27,115,27115,Pine,Pine
27,115,27115,Pine,pine
27,117,27117,Pipestone,PIPESTONE
27,117,27117,Pipestone,Pipestone
27,117,27117,Pipestone,pipestone
27,119,27119,Polk,POLK
27,119,27119,Polk,Polk
27,119,27119,Polk,polk
27,121,27121,Pope,POPE
27,121,27121,Pope,Pope
27,121,27121,Pope,pope
27,123,27123,Ramsey,RAMSEY
27,123,27123,Ramsey,Ramsey
27,123,27123,Ramsey,ramsey
27,125,27125,Red Lake,RED LAKE
27,125,27125,Red Lake,REDLAKE
27,125,27125,Red Lake,Red Lake
27,125,27125,Red Lake,RedLake
27,125,27125,Red Lake,red lake
27,125,27125,Red Lake,redlake
27,127,27127,Redwood,REDWOOD
27,127,27127,Redwood,Redwood
27,127,27127,Redwood,redwood
27,129,27129,Renville,RENVILLE
27,129,27129,Renville,Renville
27,129,27129,Renville,renville
27,131,27131,Rice,RICE
27,131,27131,Rice,Rice
27,131,27131,Rice,rice
27,133,27133,Rock,ROCK
27,133,27133,Rock,Rock
27,133,27133,Rock,rock
27,135,27135,Roseau,ROSEAU
27,135,27135,Roseau,Roseau
27,135,27135,Roseau,roseau
27,137,27137,St. Louis,ST LOUIS
27,137,27137,St. Louis,ST. LOUIS
27,137,27137,St. Louis,ST.LOUIS
27,137,27137,St. Louis,STLOUIS
27,137,27137,St. Louis,St Louis
27,137,27137,St. Louis,St. Louis
27,137,27137,St. Louis,St.Louis
27,137,27137,St. Louis,StLouis
27,137,27137,St. Louis,st louis
27,137,27137,St. Louis,st. louis
27,137,27137,St. Louis,st.louis
27,137,27137,St. Louis,stlouis
27,139,27139,Scott,SCOTT
27,139,27139,Scott,Scott
27,139,27139,Scott,scott
27,141,27141,Sherburne,SHERBURNE
27,141,27141,Sherburne,Sherburne
27,141,27141,Sherburne,sherburne
27,143,27143,Sibley,SIBLEY
27,143,27143,Sibley,Sibley
27,143,27143,Sibley,sibley
27,145,27145,Stearns,STEARNS
27,145,27145,Stearns,Stearns
27,145,27145,Stearns,stearns
27,147,27147,Steele,STEELE
27,147,27147,Steele,Steele
27,147,27147,Steele,steele
27,149,27149,Stevens,STEVENS
27,149,27149,Stevens,Stevens
27,149,27149,Stevens,stevens
27,151,27151,Swift,SWIFT
27,151,27151,Swift,Swift
27,151,27151,Swift,swift
27,153,27153,Todd,TODD
27,153,27153,Todd,Todd
27,153,27153,Todd,todd
27,155,27155,Traverse,TRAVERSE
27,155,27155,Traverse,Traverse
27,155,27155,Traverse,traverse
27,157,27157,Wabasha,WABASHA
27,157,27157,Wabasha,Wabasha
27,157,27157,Wabasha,wabasha
27,159,27159,Wadena,WADENA
27,159,27159,Wadena,Wadena
27,159,27159,Wadena,wadena
27,161,27161,Waseca,WASECA
27,161,27161,Waseca,Waseca
27,161,27161,Waseca,waseca
27,163,27163,Washington,WASHINGTON
27,163,27163,Washington,Washington
27,163,27163,Washington,washington
27,165,27165,Watonwan,WATONWAN
27,165,27165,Watonwan,Watonwan
27,165,27165,Watonwan,watonwan
27,167,27167,Wilkin,WILKIN
27,167,27167,Wilkin,Wilkin
27,167,27167,Wilkin,wilkin
27,169,27169,Winona,WINONA
27,169,27169,Winona,Winona
27,169,27169,Winona,winona
27,171,27171,Wright,WRIGHT
27,171,27171,Wright,Wright
27,171,27171,Wright,wright
27,173,27173,Yellow Medicine,YELLOW MEDICINE
27,173,27173,Yellow Medicine,YELLOWMEDICINE
27,173,27173,Yellow Medicine,Yellow Medicine
27,173,27173,Yellow Medicine,YellowMedicine
27,173,27173,Yellow Medicine,yellow medicine
27,173,27173,Yellow Medicine,yellowmedicine
